i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.761,-0.1415,-0.902,-0.3095,0.8315,-0.522,0.5415,0.6245,0.653,0.4465,0.4745,0.4395,-0.0635,-0.6475,-0.0595
0.7605,-0.149,-0.9095,-0.306,0.835,-0.529,0.5395,0.623,0.6525,0.4455,0.4745,0.4395,-0.0605,-0.646,-0.061
0.748,-0.1545,-0.9025,-0.2965,0.825,-0.5285,0.537,0.623,0.653,0.4485,0.478,0.443,-0.058,-0.6445,-0.061
0.757,-0.155,-0.912,-0.301,0.8345,-0.5335,0.5345,0.623,0.655,0.4525,0.481,0.446,-0.056,-0.649,-0.0585
0.772,-0.154,-0.926,-0.309,0.849,-0.54,0.5305,0.622,0.655,0.4535,0.482,0.4465,-0.054,-0.6525,-0.057
0.7725,-0.153,-0.9255,-0.3095,0.849,-0.5395,0.528,0.622,0.655,0.453,0.4825,0.448,-0.0525,-0.6505,-0.055
0.771,-0.1435,-0.9145,-0.314,0.8425,-0.529,0.5335,0.627,0.659,0.4585,0.487,0.4535,-0.0515,-0.644,-0.0565
0.768,-0.136,-0.904,-0.316,0.836,-0.52,0.538,0.63,0.664,0.4635,0.492,0.4585,-0.052,-0.6405,-0.0585
0.7505,-0.1395,-0.89,-0.3055,0.8205,-0.5145,0.5435,0.6365,0.671,0.4705,0.5015,0.4655,-0.05,-0.6435,-0.0575
0.7485,-0.1445,-0.8935,-0.302,0.821,-0.519,0.5435,0.636,0.6695,0.4715,0.5015,0.467,-0.047,-0.6455,-0.0575
0.737,-0.1505,-0.8875,-0.2935,0.8125,-0.519,0.5455,0.638,0.6705,0.4715,0.501,0.468,-0.047,-0.647,-0.0595
0.74,-0.147,-0.887,-0.2965,0.8135,-0.517,0.544,0.639,0.672,0.4725,0.504,0.471,-0.042,-0.642,-0.059
0.757,-0.149,-0.906,-0.304,0.8315,-0.5275,0.538,0.635,0.6705,0.471,0.502,0.4695,-0.0375,-0.641,-0.0585
0.756,-0.1505,-0.9065,-0.303,0.8315,-0.5285,0.526,0.6285,0.665,0.466,0.4985,0.4655,-0.036,-0.641,-0.0585
0.792,-0.1375,-0.93,-0.327,0.861,-0.534,0.5085,0.6135,0.651,0.453,0.4855,0.452,-0.034,-0.634,-0.0575
0.795,-0.137,-0.932,-0.329,0.8635,-0.5345,0.512,0.615,0.652,0.453,0.485,0.451,-0.035,-0.6355,-0.0585
0.791,-0.135,-0.9265,-0.328,0.8585,-0.5305,0.513,0.619,0.655,0.457,0.4895,0.4575,-0.033,-0.6395,-0.057
0.807,-0.1315,-0.938,-0.338,0.8725,-0.5345,0.51,0.6185,0.6555,0.459,0.4905,0.4585,-0.0295,-0.636,-0.058
0.813,-0.133,-0.9455,-0.34,0.8795,-0.539,0.5065,0.614,0.65,0.453,0.484,0.4515,-0.03,-0.6295,-0.059
0.819,-0.1245,-0.943,-0.3475,0.881,-0.5335,0.5045,0.612,0.6485,0.453,0.4825,0.451,-0.03,-0.627,-0.0585
0.81,-0.12,-0.93,-0.345,0.87,-0.525,0.5095,0.6215,0.6605,0.467,0.4935,0.4625,-0.0255,-0.6255,-0.06
0.803,-0.12,-0.923,-0.3415,0.863,-0.5215,0.512,0.6265,0.669,0.4745,0.501,0.47,-0.021,-0.63,-0.0595
0.7895,-0.1255,-0.915,-0.332,0.8525,-0.5205,0.513,0.627,0.673,0.481,0.508,0.4755,-0.018,-0.6375,-0.0575
0.7925,-0.1265,-0.919,-0.333,0.856,-0.523,0.5135,0.63,0.6785,0.4875,0.5145,0.481,-0.014,-0.6405,-0.0595
0.7955,-0.118,-0.9135,-0.3385,0.8545,-0.5155,0.5115,0.6325,0.6815,0.4905,0.5185,0.484,-0.0125,-0.636,-0.0605
0.7945,-0.11,-0.9045,-0.3425,0.8495,-0.5075,0.51,0.631,0.682,0.4925,0.5215,0.486,-0.0095,-0.626,-0.0595
0.81,-0.111,-0.921,-0.3495,0.8655,-0.516,0.51,0.631,0.685,0.495,0.525,0.4885,-0.0055,-0.6275,-0.0625
0.8235,-0.1275,-0.951,-0.348,0.8875,-0.539,0.5055,0.6305,0.6855,0.496,0.526,0.4875,-0.0025,-0.6345,-0.064
0.822,-0.135,-0.957,-0.3435,0.8895,-0.546,0.512,0.6395,0.696,0.5075,0.5365,0.498,0.003,-0.6395,-0.0625
0.809,-0.1305,-0.9395,-0.339,0.874,-0.535,0.5175,0.6475,0.7045,0.518,0.546,0.506,0.0075,-0.6385,-0.0635
0.8075,-0.1225,-0.93,-0.3425,0.869,-0.526,0.517,0.6495,0.708,0.5225,0.549,0.51,0.012,-0.635,-0.0615
0.813,-0.117,-0.93,-0.348,0.8715,-0.5235,0.517,0.6515,0.713,0.5285,0.5535,0.514,0.0155,-0.634,-0.06
0.8215,-0.1215,-0.943,-0.3495,0.882,-0.532,0.508,0.6445,0.707,0.524,0.547,0.507,0.0155,-0.6315,-0.063
0.8095,-0.124,-0.9335,-0.3425,0.8715,-0.529,0.5035,0.642,0.7035,0.5195,0.543,0.504,0.0175,-0.6275,-0.064
0.8015,-0.1145,-0.916,-0.3435,0.8585,-0.5155,0.506,0.651,0.7135,0.5295,0.5535,0.5135,0.022,-0.625,-0.0645
0.8085,-0.116,-0.9245,-0.346,0.8665,-0.5205,0.5055,0.6545,0.7205,0.537,0.5605,0.519,0.0255,-0.631,-0.066
0.8095,-0.123,-0.9325,-0.343,0.871,-0.528,0.5035,0.6585,0.724,0.5415,0.566,0.5205,0.0285,-0.632,-0.066
0.842,-0.1155,-0.9575,-0.363,0.9,-0.537,0.497,0.6535,0.7215,0.5395,0.5635,0.518,0.034,-0.625,-0.0655
0.8555,-0.113,-0.969,-0.3715,0.9125,-0.541,0.4895,0.648,0.7185,0.537,0.5615,0.5165,0.0385,-0.6255,-0.067
0.833,-0.116,-0.949,-0.3585,0.891,-0.5325,0.4945,0.6575,0.729,0.548,0.5745,0.528,0.044,-0.623,-0.0675
0.8225,-0.1135,-0.9355,-0.3545,0.879,-0.5245,0.4945,0.661,0.7345,0.5555,0.58,0.533,0.048,-0.6185,-0.07
0.8285,-0.096,-0.9245,-0.3665,0.8765,-0.51,0.494,0.665,0.74,0.5625,0.5885,0.538,0.051,-0.616,-0.072
0.846,-0.087,-0.9335,-0.3795,0.8895,-0.5105,0.495,0.666,0.744,0.5675,0.5935,0.5445,0.0575,-0.612,-0.0725
0.869,-0.093,-0.9625,-0.388,0.9155,-0.5275,0.4915,0.6635,0.7425,0.5655,0.59,0.543,0.06,-0.616,-0.073
0.8795,-0.097,-0.9765,-0.391,0.928,-0.537,0.49,0.6645,0.7445,0.567,0.5925,0.5475,0.064,-0.6215,-0.0705
0.871,-0.1005,-0.9715,-0.3855,0.9215,-0.536,0.4885,0.665,0.7465,0.5695,0.597,0.551,0.067,-0.619,-0.0715
0.8745,-0.095,-0.9695,-0.3895,0.922,-0.532,0.4875,0.666,0.7485,0.5715,0.6005,0.5545,0.07,-0.615,-0.074
0.883,-0.0875,-0.9705,-0.398,0.9265,-0.5285,0.4845,0.6655,0.751,0.575,0.604,0.558,0.0755,-0.6105,-0.073
0.8775,-0.0845,-0.962,-0.3965,0.9195,-0.523,0.4875,0.671,0.761,0.5865,0.615,0.5665,0.0785,-0.609,-0.073
0.87,-0.0885,-0.9585,-0.391,0.914,-0.5235,0.4915,0.6755,0.7665,0.592,0.6215,0.5735,0.082,-0.6135,-0.0725
0.8615,-0.092,-0.9535,-0.385,0.9075,-0.5225,0.4935,0.6755,0.7665,0.5925,0.6235,0.5755,0.0845,-0.6135,-0.0735
0.872,-0.091,-0.963,-0.3905,0.9175,-0.527,0.488,0.6705,0.765,0.592,0.6235,0.574,0.088,-0.6105,-0.0725
0.9035,-0.0915,-0.9955,-0.406,0.9495,-0.5435,0.4715,0.66,0.7555,0.585,0.616,0.5655,0.091,-0.609,-0.0725
0.9085,-0.088,-0.996,-0.4105,0.9525,-0.542,0.467,0.6615,0.7575,0.588,0.6195,0.569,0.0945,-0.606,-0.0755
0.9,-0.0885,-0.9885,-0.4055,0.9445,-0.5385,0.4765,0.671,0.769,0.5995,0.6305,0.579,0.098,-0.6115,-0.076
0.8905,-0.0955,-0.986,-0.3975,0.9385,-0.541,0.4825,0.6785,0.778,0.6085,0.639,0.587,0.1005,-0.616,-0.0755
0.8835,-0.093,-0.977,-0.3955,0.9305,-0.535,0.48,0.677,0.7785,0.6095,0.641,0.589,0.103,-0.6095,-0.073
0.889,-0.0855,-0.9745,-0.402,0.932,-0.53,0.48,0.679,0.7805,0.612,0.645,0.593,0.107,-0.6055,-0.0725
0.879,-0.0805,-0.9595,-0.3995,0.919,-0.52,0.4875,0.686,0.789,0.6215,0.6535,0.6035,0.11,-0.605,-0.0745
0.864,-0.076,-0.94,-0.394,0.902,-0.508,0.489,0.684,0.789,0.623,0.6555,0.6045,0.11,-0.5985,-0.075
0.879,-0.0655,-0.9445,-0.4065,0.9115,-0.505,0.485,0.6825,0.787,0.621,0.6555,0.603,0.113,-0.596,-0.076
0.8685,-0.067,-0.9355,-0.401,0.902,-0.501,0.487,0.6855,0.79,0.626,0.6605,0.608,0.1155,-0.5985,-0.0775
0.84,-0.072,-0.9125,-0.384,0.8765,-0.4925,0.495,0.6905,0.798,0.635,0.6695,0.618,0.118,-0.5955,-0.0775
0.8965,-0.067,-0.9635,-0.415,0.93,-0.5155,0.483,0.677,0.786,0.625,0.6585,0.608,0.122,-0.595,-0.077
0.9645,-0.0635,-1.028,-0.4505,0.9965,-0.5455,0.4635,0.6565,0.7685,0.6085,0.643,0.59,0.124,-0.5975,-0.0775
0.973,-0.05,-1.023,-0.4615,0.998,-0.5365,0.465,0.6585,0.7735,0.614,0.6495,0.594,0.1265,-0.5915,-0.077
0.9305,-0.049,-0.9795,-0.4405,0.955,-0.5145,0.476,0.6695,0.786,0.627,0.661,0.6065,0.129,-0.586,-0.0785
0.901,-0.056,-0.957,-0.4225,0.929,-0.5065,0.4835,0.6735,0.792,0.6345,0.6675,0.6145,0.1295,-0.5875,-0.08
0.944,-0.051,-0.995,-0.4465,0.9695,-0.523,0.475,0.6625,0.783,0.626,0.6605,0.6065,0.1315,-0.5865,-0.083
0.9635,-0.056,-1.0195,-0.4535,0.9915,-0.538,0.4705,0.657,0.781,0.623,0.6585,0.604,0.134,-0.59,-0.082
0.9485,-0.0575,-1.006,-0.4455,0.977,-0.5315,0.4795,0.663,0.789,0.631,0.669,0.614,0.135,-0.5955,-0.0785
0.924,-0.062,-0.986,-0.431,0.955,-0.524,0.487,0.669,0.796,0.6395,0.675,0.6205,0.135,-0.5945,-0.077
0.903,-0.07,-0.9725,-0.4165,0.9375,-0.5215,0.494,0.6735,0.802,0.646,0.6795,0.627,0.1355,-0.5975,-0.0765
0.9045,-0.069,-0.9735,-0.4175,0.939,-0.5215,0.495,0.671,0.7985,0.6425,0.679,0.6255,0.135,-0.595,-0.0775
0.9115,-0.059,-0.9705,-0.426,0.941,-0.5145,0.4875,0.66,0.7875,0.633,0.67,0.619,0.1355,-0.5875,-0.0775
0.915,-0.046,-0.961,-0.4345,0.938,-0.5035,0.481,0.6515,0.7815,0.626,0.6645,0.613,0.1365,-0.578,-0.079
0.9095,-0.055,-0.9645,-0.4275,0.937,-0.5095,0.484,0.6545,0.7865,0.6305,0.67,0.616,0.1365,-0.5775,-0.079
0.9025,-0.066,-0.9685,-0.418,0.9355,-0.517,0.4915,0.6585,0.7925,0.6365,0.6765,0.6225,0.1375,-0.586,-0.0785
0.895,-0.066,-0.961,-0.4145,0.928,-0.5135,0.493,0.6595,0.7935,0.637,0.678,0.623,0.1365,-0.5875,-0.0805
0.8895,-0.064,-0.954,-0.413,0.922,-0.509,0.497,0.6615,0.796,0.641,0.6835,0.628,0.136,-0.5895,-0.0815
0.8835,-0.0605,-0.944,-0.4115,0.9135,-0.502,0.505,0.664,0.8,0.6455,0.688,0.635,0.135,-0.5945,-0.082
0.8865,-0.059,-0.9455,-0.414,0.916,-0.5025,0.4995,0.6585,0.7955,0.641,0.685,0.6335,0.1355,-0.5935,-0.0815
0.9035,-0.061,-0.9645,-0.421,0.934,-0.5125,0.488,0.649,0.7865,0.6325,0.678,0.6255,0.137,-0.592,-0.0815
0.934,-0.0635,-0.9975,-0.435,0.9655,-0.5305,0.4785,0.639,0.7765,0.6235,0.6675,0.616,0.1375,-0.5945,-0.083
0.944,-0.0695,-1.0135,-0.437,0.979,-0.5415,0.4755,0.631,0.7705,0.618,0.661,0.613,0.1375,-0.595,-0.0805
0.9345,-0.068,-1.0025,-0.433,0.9685,-0.5355,0.4825,0.634,0.776,0.624,0.6675,0.6195,0.138,-0.598,-0.078
0.9395,-0.0575,-0.9975,-0.441,0.9685,-0.5275,0.487,0.6365,0.776,0.626,0.6705,0.6215,0.137,-0.597,-0.0805
0.9455,-0.0505,-0.996,-0.4475,0.9705,-0.5235,0.483,0.63,0.7705,0.6205,0.664,0.615,0.1355,-0.589,-0.0825
0.9475,-0.0425,-0.99,-0.4525,0.969,-0.5165,0.4865,0.6285,0.7715,0.622,0.666,0.6155,0.1345,-0.5825,-0.081
0.9435,-0.039,-0.9825,-0.452,0.963,-0.511,0.4955,0.63,0.772,0.626,0.6705,0.6195,0.1335,-0.5815,-0.08
0.929,-0.049,-0.978,-0.44,0.9535,-0.5135,0.4955,0.627,0.7715,0.627,0.671,0.6205,0.133,-0.587,-0.0775
0.9185,-0.0565,-0.975,-0.431,0.947,-0.5155,0.496,0.626,0.7715,0.626,0.67,0.622,0.132,-0.5895,-0.0775
0.9135,-0.0545,-0.968,-0.4295,0.9405,-0.5115,0.498,0.6235,0.7685,0.6245,0.67,0.623,0.1315,-0.5875,-0.0795
0.903,-0.0565,-0.9595,-0.423,0.9315,-0.508,0.4925,0.616,0.7615,0.6195,0.6645,0.6175,0.1295,-0.582,-0.0785
0.899,-0.0585,-0.957,-0.42,0.928,-0.5075,0.493,0.6135,0.7605,0.6175,0.6625,0.6165,0.1275,-0.5815,-0.078
0.902,-0.0625,-0.9645,-0.42,0.933,-0.5135,0.497,0.6135,0.762,0.619,0.6645,0.6185,0.1265,-0.5885,-0.079
0.9015,-0.0665,-0.9685,-0.4175,0.935,-0.5175,0.495,0.61,0.7605,0.6175,0.663,0.6165,0.1255,-0.5935,-0.078
0.893,-0.0755,-0.9685,-0.409,0.931,-0.522,0.496,0.6095,0.7615,0.6175,0.664,0.617,0.1255,-0.593,-0.0765
0.888,-0.08,-0.968,-0.404,0.928,-0.524,0.4965,0.6065,0.759,0.6155,0.6625,0.6165,0.125,-0.5905,-0.0755
0.8845,-0.0785,-0.963,-0.403,0.9235,-0.521,0.4965,0.604,0.7555,0.6125,0.662,0.615,0.1235,-0.5935,-0.0765
0.8835,-0.0755,-0.959,-0.4045,0.9215,-0.517,0.497,0.6035,0.7565,0.6125,0.6615,0.615,0.122,-0.596,-0.077
0.884,-0.0715,-0.9555,-0.4065,0.92,-0.5135,0.5005,0.603,0.7565,0.6135,0.664,0.6165,0.1195,-0.5985,-0.0775
0.883,-0.0735,-0.9565,-0.4045,0.92,-0.515,0.5075,0.605,0.759,0.615,0.666,0.62,0.117,-0.6015,-0.078
0.889,-0.0665,-0.9555,-0.411,0.922,-0.511,0.51,0.606,0.7585,0.6155,0.6655,0.621,0.1175,-0.599,-0.078
0.8785,-0.062,-0.94,-0.4085,0.909,-0.501,0.511,0.6045,0.7565,0.6165,0.6665,0.619,0.1145,-0.597,-0.0795
0.872,-0.0585,-0.9305,-0.407,0.9015,-0.4945,0.511,0.6005,0.754,0.614,0.6635,0.6175,0.1125,-0.596,-0.0785
0.876,-0.055,-0.931,-0.4105,0.9035,-0.493,0.511,0.599,0.753,0.6135,0.663,0.617,0.1125,-0.593,-0.077
0.8705,-0.061,-0.932,-0.405,0.9015,-0.4965,0.5105,0.598,0.755,0.6155,0.664,0.6165,0.113,-0.596,-0.0785
0.872,-0.062,-0.9335,-0.405,0.903,-0.4975,0.51,0.5955,0.7525,0.6145,0.6625,0.615,0.1135,-0.5995,-0.0775
0.877,-0.061,-0.938,-0.408,0.9075,-0.4995,0.5105,0.5935,0.7495,0.614,0.6595,0.6135,0.112,-0.597,-0.0765
0.8695,-0.064,-0.9335,-0.403,0.9015,-0.499,0.5115,0.593,0.748,0.6125,0.6595,0.613,0.1105,-0.595,-0.0755
0.874,-0.065,-0.939,-0.4045,0.9065,-0.502,0.512,0.589,0.743,0.6095,0.6565,0.6115,0.111,-0.5945,-0.0735
0.8955,-0.067,-0.9625,-0.414,0.929,-0.515,0.51,0.5835,0.7385,0.6045,0.6505,0.609,0.111,-0.5985,-0.0725
0.8935,-0.073,-0.9665,-0.41,0.93,-0.52,0.5085,0.5785,0.732,0.598,0.6465,0.603,0.108,-0.5975,-0.073
0.9,-0.0785,-0.978,-0.411,0.939,-0.5285,0.5085,0.5775,0.7275,0.595,0.644,0.6005,0.106,-0.5995,-0.0735
0.909,-0.0725,-0.9815,-0.4185,0.9455,-0.527,0.5085,0.5765,0.728,0.5945,0.645,0.6015,0.106,-0.599,-0.075
0.895,-0.068,-0.963,-0.4135,0.929,-0.5155,0.505,0.5725,0.725,0.5925,0.643,0.599,0.105,-0.594,-0.074
0.871,-0.07,-0.941,-0.4005,0.906,-0.5055,0.509,0.5755,0.728,0.5955,0.646,0.6015,0.1045,-0.5935,-0.0725
0.862,-0.069,-0.9305,-0.3965,0.896,-0.5,0.514,0.5775,0.7305,0.599,0.6485,0.606,0.103,-0.5925,-0.0715
0.862,-0.074,-0.9365,-0.394,0.899,-0.5055,0.513,0.5765,0.7295,0.5995,0.6465,0.606,0.102,-0.5935,-0.071
0.851,-0.0825,-0.934,-0.3845,0.8925,-0.508,0.517,0.5765,0.729,0.5985,0.647,0.6075,0.1,-0.5945,-0.0735
0.847,-0.083,-0.9305,-0.382,0.8885,-0.5065,0.5155,0.575,0.7275,0.5965,0.647,0.6065,0.0985,-0.592,-0.0745
0.8605,-0.078,-0.939,-0.391,0.9,-0.5085,0.5125,0.574,0.725,0.594,0.6445,0.6025,0.0995,-0.591,-0.0755
0.8845,-0.0825,-0.967,-0.401,0.9255,-0.525,0.5115,0.57,0.722,0.589,0.641,0.5995,0.098,-0.6005,-0.0755
0.911,-0.0765,-0.9875,-0.4175,0.9495,-0.532,0.5015,0.5605,0.7125,0.579,0.631,0.589,0.098,-0.604,-0.072
0.9275,-0.072,-0.9995,-0.4275,0.9635,-0.536,0.493,0.5495,0.702,0.5675,0.6195,0.5785,0.0985,-0.605,-0.069
0.916,-0.0735,-0.9895,-0.4215,0.9525,-0.5315,0.496,0.549,0.702,0.567,0.622,0.58,0.096,-0.602,-0.0705
0.917,-0.066,-0.983,-0.4255,0.95,-0.5245,0.4975,0.552,0.704,0.571,0.625,0.5815,0.0975,-0.599,-0.071
0.918,-0.0665,-0.9845,-0.4255,0.951,-0.5255,0.498,0.5515,0.706,0.5725,0.6265,0.582,0.0975,-0.6005,-0.072
0.903,-0.066,-0.969,-0.4185,0.936,-0.5175,0.5015,0.555,0.708,0.5745,0.63,0.5855,0.0975,-0.5935,-0.074
0.8795,-0.078,-0.9575,-0.401,0.9185,-0.518,0.5005,0.555,0.708,0.5745,0.629,0.5855,0.097,-0.5925,-0.072
0.8645,-0.0855,-0.95,-0.3895,0.9075,-0.518,0.502,0.5535,0.7105,0.5775,0.631,0.586,0.095,-0.596,-0.0705
0.879,-0.076,-0.9555,-0.4015,0.9175,-0.516,0.5075,0.556,0.714,0.5815,0.6325,0.589,0.0945,-0.599,-0.07
0.876,-0.0815,-0.9575,-0.3975,0.917,-0.5195,0.503,0.5515,0.7085,0.576,0.6285,0.5835,0.092,-0.5935,-0.0685
0.8665,-0.088,-0.955,-0.389,0.9105,-0.5215,0.5045,0.5565,0.709,0.5765,0.6305,0.585,0.093,-0.5975,-0.0695
0.876,-0.0845,-0.96,-0.3955,0.918,-0.5225,0.507,0.5585,0.7085,0.5785,0.63,0.5875,0.0925,-0.6045,-0.0725
0.8805,-0.0775,-0.958,-0.4015,0.9195,-0.518,0.503,0.5525,0.7035,0.5735,0.6275,0.5845,0.093,-0.6,-0.0705
0.8805,-0.0715,-0.952,-0.4045,0.916,-0.5115,0.505,0.5555,0.7075,0.5775,0.632,0.5895,0.0945,-0.603,-0.067
0.8795,-0.0745,-0.9545,-0.4025,0.917,-0.5145,0.5045,0.5545,0.7055,0.576,0.63,0.5865,0.0925,-0.5985,-0.0695
0.8585,-0.078,-0.9365,-0.3905,0.8975,-0.507,0.509,0.5585,0.7095,0.58,0.6335,0.5905,0.0925,-0.594,-0.0715
0.855,-0.078,-0.933,-0.3885,0.894,-0.5055,0.5115,0.5575,0.71,0.58,0.634,0.592,0.0915,-0.5955,-0.072
0.89,-0.0795,-0.9695,-0.405,0.93,-0.5245,0.5065,0.5505,0.702,0.572,0.627,0.586,0.0925,-0.5995,-0.0705
0.902,-0.0795,-0.9815,-0.411,0.9415,-0.5305,0.507,0.553,0.7035,0.574,0.628,0.588,0.093,-0.6055,-0.071
0.911,-0.073,-0.984,-0.419,0.947,-0.5285,0.505,0.553,0.7035,0.572,0.6275,0.587,0.094,-0.6025,-0.0695
0.9215,-0.0665,-0.988,-0.4275,0.9545,-0.5275,0.501,0.5475,0.698,0.565,0.621,0.5815,0.094,-0.5905,-0.0695
0.9045,-0.066,-0.971,-0.419,0.938,-0.5185,0.4975,0.5455,0.6965,0.5635,0.621,0.581,0.092,-0.586,-0.071
0.8975,-0.063,-0.9605,-0.417,0.929,-0.5115,0.498,0.5505,0.6995,0.567,0.626,0.5855,0.091,-0.5925,-0.0705
0.889,-0.069,-0.958,-0.41,0.9235,-0.5135,0.499,0.5515,0.6995,0.5665,0.6255,0.584,0.09,-0.5945,-0.072
0.894,-0.076,-0.97,-0.409,0.932,-0.523,0.496,0.549,0.6985,0.5655,0.6235,0.5835,0.093,-0.6005,-0.07
0.9035,-0.0775,-0.981,-0.413,0.942,-0.529,0.4975,0.55,0.7,0.5695,0.6255,0.5865,0.095,-0.6055,-0.069
0.89,-0.0795,-0.969,-0.405,0.9295,-0.5245,0.503,0.5545,0.705,0.574,0.63,0.59,0.094,-0.5975,-0.0695
0.885,-0.078,-0.963,-0.4035,0.924,-0.5205,0.5035,0.5565,0.707,0.573,0.6295,0.5895,0.093,-0.5915,-0.0705
0.8855,-0.082,-0.9675,-0.4015,0.9265,-0.5245,0.4995,0.5535,0.705,0.572,0.6275,0.587,0.0925,-0.5935,-0.0705
0.873,-0.08,-0.953,-0.3965,0.913,-0.5165,0.5,0.5525,0.7055,0.5725,0.628,0.5875,0.093,-0.5915,-0.0695
0.868,-0.0685,-0.9365,-0.4,0.902,-0.5025,0.5015,0.554,0.7055,0.5745,0.629,0.588,0.093,-0.5855,-0.071
0.8595,-0.069,-0.9285,-0.3955,0.894,-0.499,0.507,0.5615,0.712,0.5815,0.635,0.596,0.094,-0.589,-0.0715
0.8625,-0.075,-0.938,-0.3935,0.9,-0.5065,0.506,0.5585,0.7115,0.58,0.6305,0.5945,0.0955,-0.5935,-0.0715
0.8895,-0.0745,-0.964,-0.4075,0.927,-0.5195,0.4945,0.5495,0.7025,0.572,0.622,0.5855,0.0965,-0.5905,-0.072
0.89,-0.074,-0.964,-0.408,0.927,-0.5185,0.497,0.5535,0.706,0.575,0.625,0.5885,0.0955,-0.5895,-0.072
0.881,-0.0705,-0.9515,-0.405,0.9165,-0.511,0.5035,0.557,0.7115,0.5805,0.6295,0.5915,0.094,-0.5885,-0.0725
0.876,-0.0715,-0.9475,-0.4025,0.912,-0.5095,0.501,0.5575,0.714,0.5835,0.632,0.592,0.095,-0.5855,-0.0735
0.886,-0.07,-0.956,-0.408,0.921,-0.513,0.4955,0.5555,0.711,0.5815,0.629,0.589,0.095,-0.587,-0.0735
0.897,-0.0685,-0.9655,-0.4145,0.931,-0.517,0.49,0.552,0.706,0.576,0.6255,0.585,0.097,-0.587,-0.072
0.885,-0.0765,-0.9615,-0.404,0.9235,-0.519,0.492,0.5535,0.706,0.5765,0.625,0.5865,0.0975,-0.5865,-0.073
